cep,urdu_input,english_output
165,کراچی کے لوگ ہر وقت مصروف رہتے ہیں، دن میں کام کرتے ہیں اور رات کو دوستوں کے ساتھ بیٹھ کر گپ شپ کرتے ہیں، اور یہی شہر کی اصل پہچان ہے کہ یہاں زندگی کبھی رُکتی نہیں۔,Karachi people are always busy — they work during the day and hang out with friends at night chatting — that's the real identity of this city: life here never stops.
166,جب میں دوست کے ساتھ شادی میں گیا تو وہاں کھانے کا اتنا اہتمام تھا کہ سب لوگ خوش ہو گئے، اور محفل کا مزہ دوبالا ہو گیا کیونکہ ہر کوئی اپنی پسند کا کھانا کھا رہا تھا۔,"When I went to a wedding with a friend, the food was so well arranged that everyone went home happy, and the whole event was doubly enjoyable because everyone got to eat what they loved."
167,کراچی میں بارش کے بعد سڑکوں پر پانی جمع ہو جاتا ہے، اور لوگ پریشان ہو جاتے ہیں کہ گاڑیاں کیسے چلیں گی، بچے اسکول کیسے جائیں گے اور زندگی کب معمول پر آئے گی۔,"After rain in Karachi, roads flood and people stress about how the cars will move, how kids will get to school, and when life will go back to normal."
168,کل جب میں دفتر گیا تو راستے میں رکشے والے نے اتنا شور مچایا کہ سب لوگ ہنسنے لگے، اور سفر دلچسپ ہو گیا کیونکہ اس نے اپنی زندگی کی کہانیاں بھی سنانی شروع کر دیں۔,"When I was heading to the office yesterday, a rickshaw driver made such a hilarious scene on the road that everyone started laughing — and then he started telling stories of his life which made the commute entertaining."
169,کراچی کے لوگ دل کے بڑے صاف ہیں، دوسروں کی مدد کرنے کے لیے ہمیشہ تیار رہتے ہیں چاہے حالات کتنے ہی مشکل کیوں نہ ہوں، اور یہی ان کی سب سے بڑی خوبی ہے۔,Karachi people are genuinely warm-hearted — always ready to help others no matter how difficult things are — that's their greatest quality.
170,جب میں دوستوں کے ساتھ پارک گیا تو بچوں کو کھیلتے دیکھ کر دل خوش ہو گیا، اور بچپن کی یادیں تازہ ہو گئیں جیسے وقت پیچھے چلا گیا ہو۔,"When I went to the park with friends, watching the children play lit me up, and childhood memories came flooding back like time had rewound."
171,کراچی میں ہر رات ایک نئی رونق ہوتی ہے، لوگ دیر تک جاگتے ہیں، چائے پیتے ہیں اور گپ شپ کرتے ہیں جیسے شہر کبھی سو ہی نہیں سکتا اور زندگی ہمیشہ رواں دواں رہتی ہے۔,"Every night in Karachi has its own energy — people stay up late, drink tea, and chat endlessly, as if this city never sleeps and life is always in motion."
172,کل جب میں بازار گیا تو سبزی والے نے اتنے زیادہ دام بتائے کہ مجھے حیرت ہوئی کہ مہنگائی کہاں تک پہنچ گئی ہے، اور لوگ مجبوراً کم چیزیں خریدنے لگے ہیں۔,"When I went to the market, the vegetable seller's prices shocked me — I wondered how far inflation has gone, and people are now forced to buy less."
173,کراچی کے لوگ مشکل وقت میں بھی ہنسنے اور خوش رہنے کا طریقہ جانتے ہیں، اور یہی ان کی اصل طاقت ہے کہ وہ حالات کو ہنسی مذاق میں بدل دیتے ہیں۔,"Karachi people know how to laugh and stay cheerful in tough times — that's their real strength, they turn hardships into humor."
174,جب میں رکشے میں بیٹھا تو ڈرائیور نے کہا کہ پیٹرول مہنگا ہو گیا ہے، اس لیے کرایہ بھی بڑھانا پڑے گا اور لوگ مجبوراً زیادہ پیسے دینے لگے ہیں۔,"When I got in the rickshaw, the driver said petrol has gotten expensive so the fare would have to go up — and people are now paying more with no choice."
175,کراچی میں ہر موسم کا اپنا مزہ ہے، گرمی میں سمندر اور سردی میں چائے کا لطف، اور لوگ دونوں موسموں کو اپنی خوشی کے مطابق گزارنے کی کوشش کرتے ہیں۔,Every season in Karachi has its own pleasure — the sea in summer and tea in winter — and people try to enjoy both seasons in their own way.
176,کل جب میں دوستوں کے ساتھ فلم دیکھنے گیا تو سینما ہال میں اتنا شور تھا کہ فلم سمجھنا مشکل ہو گیا، لیکن پھر بھی سب نے مزہ کیا کیونکہ یہ دوستوں کے ساتھ وقت گزارنے کا بہانہ تھا۔,"When I went to see a movie with friends, the cinema hall was so noisy it was hard to follow the film, but everyone still had fun because it was just an excuse to spend time together."
177,کراچی کے لوگ کھانے پینے کے بڑے شوقین ہیں، اور ہر جگہ کوئی نہ کوئی خاص ڈش مل جاتی ہے، چاہے وہ بریانی ہو، کباب ہو یا حلیم۔,"Karachi people are passionate about food and you'll find something special to eat everywhere — whether it's biryani, kebabs, or haleem."
178,جب میں بازار گیا تو کپڑوں کی دکانوں پر اتنا رش تھا کہ چلنا مشکل ہو گیا اور لوگ ایک دوسرے سے ٹکرا رہے تھے، لیکن سب خریداری میں خوش تھے۔,"When I went to the market, clothing shops were so packed people were bumping into each other, but everyone was happy shopping."
179,کراچی میں ہر گلی محلے میں بچے کرکٹ کھیلتے ہیں، اور یہی کھیل ان کی سب سے بڑی خوشی ہے کیونکہ یہ ان کے دن کو رنگین بنا دیتا ہے۔,Kids play cricket in every street in Karachi and that game is their greatest joy — it's what colors their day.
180,کل جب میں اسپتال گیا تو وہاں اتنا رش تھا کہ ڈاکٹر سے ملنے کے لیے گھنٹوں انتظار کرنا پڑا، اور لوگ اپنی باری کے لیے بے صبری سے ایک دوسرے کو دیکھتے رہے۔,"When I went to the hospital, it was so crowded I had to wait hours to see a doctor — everyone impatiently watching each other."
181,کراچی کے لوگ مشکل حالات میں بھی امید نہیں چھوڑتے، اور یہی ان کی سب سے بڑی خوبی ہے کہ وہ ہر حال میں آگے بڑھنے کی کوشش کرتے ہیں۔,"Karachi people never give up hope in tough situations — that's their greatest quality, always pushing forward."
182,کراچی میں ہر دن ایک نئی کہانی ہوتی ہے، کبھی ٹریفک جام کی، کبھی بارش کی، کبھی مہنگائی کی، اور لوگ اپنی زندگی کو خوشی سے گزارنے کی کوشش کرتے ہیں۔,"Every day in Karachi brings a new story — traffic, rain, inflation — yet people try to live life happily regardless."
183,کل جب میں بازار گیا تو وہاں اتنی روشنی تھی کہ لگ رہا تھا جیسے کوئی تہوار ہو، اور ہر دکان جگمگا رہی تھی جیسے پورا شہر خوشی منا رہا ہو۔,"When I went to the market yesterday, it was so brightly lit it looked like a festival, every shop glowing as if the whole city was celebrating."
184,کراچی کے لوگ ہر وقت مصروف رہتے ہیں، اور یہی شہر کی اصل پہچان ہے کہ یہاں زندگی کبھی رُکتی نہیں۔,Karachi people are always busy — that's the true identity of this city where life never stops.
185,جب میں دوست کے ساتھ بریانی کھانے گیا تو ذائقہ اتنا اچھا تھا کہ دل خوش ہو گیا اور سب نے کہا کہ یہ جگہ دوبارہ آنا چاہیے۔,"When I went to eat biryani with a friend, the taste was so good that everyone said we must come back here."
186,کراچی میں بارش کے بعد سڑکوں پر پانی جمع ہو جاتا ہے، اور لوگ پریشان ہو جاتے ہیں کہ گاڑیاں کیسے چلیں گی اور بچے اسکول کیسے جائیں گے۔,"After rain in Karachi, roads flood and people worry about how cars will move and how kids will get to school."
187,کل جب میں دفتر گیا تو راستے میں رکشے والے نے اتنا شور مچایا کہ سب لوگ ہنسنے لگے اور سفر دلچسپ ہو گیا۔,"When I was heading to the office yesterday, a rickshaw driver made such a scene on the road that everyone started laughing and the commute became entertaining."
188,کراچی کے لوگ دل کے بڑے صاف ہیں، اور دوسروں کی مدد کرنے کے لیے ہمیشہ تیار رہتے ہیں چاہے حالات کتنے ہی مشکل کیوں نہ ہوں۔,Karachi people have big hearts and are always ready to help others no matter how tough the situation.
189,جب میں دوستوں کے ساتھ پارک گیا تو بچوں کو کھیلتے دیکھ کر دل خوش ہو گیا اور بچپن کی یادیں تازہ ہو گئیں۔,"When I went to the park with friends, watching the children play made me happy and brought back childhood memories."
190,کراچی میں ہر رات ایک نئی رونق ہوتی ہے، اور لوگ دیر تک جاگتے ہیں,"Every night in Karachi has its own energy, and people stay up late."
191,آج صبح سے بجلی نہیں آئی اور گرمی اتنی زیادہ ہے کہ گھر میں بیٹھنا مشکل ہو گیا ہے، پنکھا بند ہے، یو پی ایس بھی ڈاؤن ہو گیا اور بچے گرمی سے پریشان ہیں، سمجھ نہیں آ رہا کیا کریں۔,"There's been no electricity since morning and the heat is so intense that sitting at home has become unbearable — the fan is off, the UPS died too, the kids are suffering in the heat — I have no idea what to do."
192,بھائی، میں نے صبح سے تین بار ٹرائی کیا کہ آفس پہنچوں لیکن ٹریفک اتنی بری تھی کہ پہلے شاہراہ فیصل بند تھی، پھر ناظم آباد والے چوک پر جام لگا ہوا تھا، اور آخر میں بس کا انتظار کرتے کرتے آدھا گھنٹہ نکل گیا۔,"Bro, I tried three times this morning to get to the office but the traffic was awful — first Shahrah-e-Faisal was blocked, then there was a jam at the Nazimabad intersection, and then I spent half an hour waiting for a bus."
193,امی نے کہا کہ آج مہمان آنے والے ہیں اس لیے گھر میں بریانی بنانی ہے، گوشت لانا ہے، دہی لانی ہے، اور ساتھ میں کولڈ ڈرنک بھی لے آنا کیونکہ بچے پانی نہیں پیتے مہمانوں کے سامنے۔,"Mom said guests are coming today so we have to make biryani, get meat, get yogurt, and also bring cold drinks because kids won't drink water in front of guests."
194,کراچی میں رہنا اب پہلے سے بہت مہنگا ہو گیا ہے، کرایہ بھی بڑھ گیا ہے، بجلی کا بل بھی ہزاروں میں آتا ہے، سبزی اور گوشت کے دام بھی آسمان سے باتیں کر رہے ہیں، اور تنخواہ وہی پرانی ہے جو دس سال پہلے تھی۔,"Living in Karachi has become much more expensive — rent has gone up, electricity bills run into thousands, vegetables and meat prices are sky-high, and the salary is the same as it was ten years ago."
195,یار، میں نے سوچا تھا کہ آج چھٹی کے دن سب گھر والوں کے ساتھ سمندر کنارے جائیں گے لیکن بارش شروع ہو گئی اور سڑکیں ڈوب گئیں، اس لیے گھر پر ہی بیٹھے کھانا کھایا اور ٹی وی دیکھتے رہے۔,"Dude, I had planned to take the whole family to the seaside today but then rain started and the roads flooded, so we just stayed home and ate together and watched TV."
196,ہمارے محلے میں پانی کا مسئلہ اتنا پرانا ہے کہ ہم نے حساب لگانا بھی چھوڑ دیا، کبھی تین دن میں آتا ہے، کبھی پانچ دن بعد، اور جب آتا ہے تو اتنا گندا ہوتا ہے کہ پینے کے قابل نہیں ہوتا، اس لیے پانی کی گاڑی منگوانی پڑتی ہے ہر ہفتے۔,"The water problem in our neighborhood is so old we've stopped keeping count — sometimes it comes every three days, sometimes every five, and when it does come it's so dirty it's undrinkable, so we have to order a water tanker every week."
197,ابو نے کہا ہے کہ اس مہینے گھر کا خرچ بہت بڑھ گیا ہے کیونکہ بچوں کی اسکول فیس، دوائیاں، اور گھر کی مرمت سب ایک ساتھ آ گئی، اس لیے کچھ فضول خرچی بند کرنی ہوگی اور باہر کا کھانا بند کریں گے فی الحال۔,"Dad said this month's expenses went way up because school fees, medicine, and house repairs all hit at once — so we need to cut unnecessary spending and stop ordering outside food for now."
198,بھابھی نے آج سارا دن کام کیا، صبح ناشتہ بنایا، بچوں کو اسکول بھیجا، پھر گھر صاف کیا، دوپہر کو کھانا بنایا، اور شام کو بچوں کو ٹیوشن بھی لے گئیں، واقعی ان کی محنت کو سلام ہے۔,"Bhabhi worked the whole day today — made breakfast, sent the kids to school, cleaned the house, cooked lunch, and took the kids to tutoring in the evening — truly hats off to her dedication."
199,آج دفتر میں باس نے بہت ڈانٹا کیونکہ رپورٹ ٹائم پر نہیں ہوئی تھی، حالانکہ میں نے ساری رات جاگ کر کام کیا تھا لیکن انٹرنیٹ بند رہا اور فائل اپلوڈ نہیں ہوئی، یہ بات میں نے کہی لیکن کسی نے نہیں سنی۔,"The boss gave me a real earful today because the report wasn't submitted on time — even though I worked all night on it, but the internet was down and the file wouldn't upload — I explained it but no one listened."
200,کل شادی کی تقریب میں بہت مزہ آیا، کھانا بہت اچھا تھا، بریانی، قورمہ، اور کھیر سب لاجواب تھی، باراتیوں کی تعداد بھی بہت زیادہ تھی اور ہال اتنا بھرا ہوا تھا کہ بیٹھنے کی جگہ بھی مشکل سے ملی۔,"Yesterday's wedding was a blast — the food was amazing, the biryani, qorma, and kheer were all fantastic, there was a huge crowd and the hall was so packed there was barely anywhere to sit."
201,بھائی، رکشہ والے نے ڈیڑھ سو روپے مانگے جبکہ عام طور پر سو میں جاتے ہیں، میں نے بھاؤ کیا تو وہ کہنے لگا کہ پٹرول مہنگا ہو گیا ہے اس لیے کرایہ بڑھا دیا ہے، آخرکار ایک سو بیس میں راضی ہوا۔,"Bro, the rickshaw driver wanted 150 rupees when it usually costs 100 — I bargained and he said petrol got expensive — we finally settled on 120."
202,آج بچوں کا امتحان تھا اس لیے رات بھر جاگ کر پڑھایا، صبح چار بجے تک بیٹھے رہے، بچہ سوتا رہا اور میں جگاتا رہا، صبح اٹھا تو خود کو بہت تھکا ہوا محسوس کر رہا تھا لیکن دفتر جانا بھی ضروری تھا۔,"The kids had exams today so I stayed up all night helping them study — we were at it until 4 AM, the kid kept dozing off and I kept waking them up — I was exhausted in the morning but still had to go to the office."
203,ہمارے پڑوسی نے نیا گھر لیا ہے ڈیفنس میں، بہت اچھا علاقہ ہے لیکن کرایہ بھی بہت زیادہ ہے، وہ کہتے ہیں کہ بچوں کے لیے ماحول اچھا ہو اس لیے اتنا خرچ کر رہے ہیں، ہم بھی سوچتے ہیں لیکن جیب اجازت نہیں دیتی۔,Our neighbor rented a new place in Defence — it's a great area but very expensive — they say they're spending that much for the sake of a good environment for the kids — we think about it too but our pocket doesn't allow it.
204,یار، کراچی میں بارش کا نظام ایسا ہے کہ تھوڑی سی بارش میں پوری شہر ڈوب جاتا ہے، سڑکوں پر پانی جمع ہو جاتا ہے، گاڑیاں پھنس جاتی ہیں، اور لوگ گھنٹوں ٹریفک میں بیٹھے رہتے ہیں، کوئی نکاسی آب کا انتظام نہیں ہے۔,"Dude, Karachi's drainage situation is such that a little rain floods the whole city — roads get waterlogged, cars get stuck, and people sit in traffic for hours — there's just no proper drainage system."
205,امی بیمار ہیں اس ہفتے، بخار ہے اور کھانسی بھی، ڈاکٹر نے کہا ہے کہ آرام کریں اور گرم پانی پیئیں، دوائیں لکھ دی ہیں لیکن ایک دوائی میڈیکل میں نہیں ملی، تین دکانیں چھان ماریں تب مل گئی۔,"Mom has been sick this week — fever and a cough — the doctor said rest and drink warm water, wrote a prescription, but one medicine wasn't available at the pharmacy — we had to check three shops before finding it."
206,بھائی، موبائل کمپنی والوں نے پھر سے نیٹ ورک خراب کر دیا ہے، ایک گھنٹے سے کال نہیں لگ رہی، انٹرنیٹ بھی نہیں چل رہا، آفس والوں کو بھیجنا ضروری تھا لیکن کچھ نہیں ہو سکا، بہت پریشانی ہوئی۔,"Bro, the mobile network is terrible again — I've been trying to make a call for an hour with no luck, the internet is also down, I needed to send something important to the office but couldn't — very frustrating."
207,آج جمعے کی نماز کے لیے جلدی نکلا کیونکہ مسجد دور ہے، لیکن راستے میں ٹریفک اتنی تھی کہ نماز کی صف میں دیر سے پہنچا، امام صاحب کا خطبہ شروع ہو چکا تھا، اگلی بار گھر کے قریب والی مسجد میں جاؤں گا۔,"I rushed out early for Jumu'ah prayer because the mosque is far, but traffic was so bad I arrived late — the imam had already started the sermon — next time I'll go to the mosque in my neighborhood."
208,بچے اسکول سے آتے ہی کھانا مانگتے ہیں، بھوکے ہوتے ہیں بیچارے، پھر تھوڑی دیر میں ہوم ورک ہوتا ہے، ٹیوشن بھی ہے، اور شام کو کھیلنا بھی چاہتے ہیں، دن بھر کا شیڈول اتنا بھرا ہوا ہے کہ سوچ کر تھکاوٹ ہو جاتی ہے۔,"The kids come home from school and immediately ask for food — the poor things are hungry — then it's homework, then tutoring, then they want to play in the evening — the whole day is so packed it's exhausting just thinking about it."
209,یار، نئی نوکری کا انٹرویو کل تھا، بہت اچھا ہوا، سوالات مشکل تھے لیکن میں نے اچھے جواب دیے، انھوں نے کہا ہے کہ ایک ہفتے میں جواب ملے گا، انگلیاں دبی ہوئی ہیں کہ کال آئے اور ہاں کہیں۔,"Dude, the job interview was yesterday — it went really well, the questions were tough but I answered well — they said they'd respond in a week — fingers crossed that the call comes and they say yes."
210,گھر کی چھت سے پانی ٹپکتا ہے بارش میں، پچھلے سال بھی کہا تھا مالک مکان کو لیکن انھوں نے ٹھیک نہیں کرایا، اس بار بارش میں کمرے کا سارا سامان بھیگ گیا اور اب مالک مکان سے سخت بات کرنی پڑے گی۔,"The roof leaks when it rains — I told the landlord about it last year too but he didn't fix it — this time the rain soaked all the stuff in the room, and now I have to have a serious conversation with the landlord."
211,ابو کی صحت اچھی نہیں ہے کچھ دنوں سے، ڈاکٹر نے کہا ہے کہ بلڈ پریشر بڑھا ہوا ہے، نمک کم کرو، تیل کم کھاؤ، اور ورزش کرو، لیکن ابو کو عادت نہیں ہے صحت کا اتنا خیال رکھنے کی، بہت سمجھانا پڑتا ہے۔,"Dad hasn't been well lately — the doctor said his blood pressure is high, reduce salt, reduce oily food, and exercise — but Dad isn't used to taking such good care of his health, he needs a lot of convincing."
212,آج بازار میں سبزی لینے گیا تو دام سن کر حیران رہ گیا، ٹماٹر دو سو روپے کلو، پیاز ایک سو پچاس، اور دھنیا بھی پچاس روپے کا ایک گٹھا، ایسے میں گھر کا بجٹ کیسے چلے، سمجھ سے باہر ہے۔,"When I went to the market today for vegetables, the prices were shocking — tomatoes 200 rupees a kilo, onions 150, and even coriander was 50 rupees a bunch — I don't understand how to manage the household budget like this."
213,بھائی، گاڑی کا انجن کچھ دنوں سے آواز کر رہا ہے، مکینک نے کہا ہے کہ آئل تبدیل کرنا ہے اور ایک پارٹ خراب ہو گئی ہے جو باہر سے منگوانی پڑے گی، کل کا کام مہینوں تک لٹکا رہتا ہے یہاں، بہت پریشانی ہے۔,"Bro, the car engine has been making a sound for days — the mechanic said the oil needs changing and a part is broken that has to be ordered from outside — things that should take a day end up dragging on for months here, very stressful."
214,کراچی کے پرانے علاقوں میں رہنا اب بہت مشکل ہو گیا ہے، گلیاں تنگ ہیں، پارکنگ نہیں ہے، پانی کا مسئلہ ہے، بجلی کا مسئلہ ہے، اور اوپر سے کرایہ بھی ہر سال بڑھتا جا رہا ہے، لیکن کیا کریں، گھر والوں سے دور نہیں جا سکتے۔,"Living in old parts of Karachi has gotten very difficult — narrow streets, no parking, water problems, electricity problems, and on top of that rent goes up every year — but what can you do, you can't move away from family."
215,آج کا دن بہت تھکاوٹ والا رہا، صبح آٹھ بجے گھر سے نکلا، دفتر میں میٹنگز پر میٹنگز رہیں، دوپہر کا کھانا بھی نہیں کھا سکا، شام کو بھی اضافی کام رہا، اور گھر رات نو بجے پہنچا تو بھوک سے برا حال تھا۔,"Today was an exhausting day — left home at eight in the morning, meetings back to back at the office, couldn't even eat lunch, stayed for extra work in the evening, reached home at nine at night starving."
216,بھابھی نے گھر میں چھوٹا سا کاروبار شروع کیا ہے، گھر کا بنا کھانا آرڈر پر دیتی ہیں، بریانی، بھنا گوشت، اور مٹھائیاں، کافی گاہک بن گئے ہیں محلے میں، گھر کے خرچ میں مدد ہو رہی ہے، بہت اچھی بات ہے۔,"Bhabhi has started a small home business — she takes food orders from home: biryani, bhuna gosht, and sweets — she's got quite a few regular customers in the neighborhood and it's helping with household expenses — really great."
217,یار، آج اچانک بارش آ گئی اور میں بغیر چھتری کے تھا، دکان کے باہر کھڑا بارش رکنے کا انتظار کرتا رہا، آدھا گھنٹہ بعد بارش تھوڑی کم ہوئی تو بھاگتے ہوئے بس پکڑی اور کپڑے پھر بھی بھیگ گئے۔,"Dude, it suddenly rained and I had no umbrella — I stood outside a shop waiting for it to stop — after half an hour it eased up a bit, I made a run for the bus, and still got soaked."
218,ہمارے گھر کے قریب نئی مارکیٹ بن رہی ہے، دو سال سے تعمیر جاری ہے لیکن ابھی تک آدھی ہی بنی ہے، دھول اڑتی رہتی ہے، شور بھی رہتا ہے، اور گلی بھی بند رہتی ہے آدھا دن، محلے والے بہت تنگ ہیں۔,A new market is being built near our house — it's been under construction for two years and it's still only half done — there's constant dust and noise and the street stays blocked half the day — the whole neighborhood is fed up.
219,امی نے کہا کہ عید سے پہلے گھر کی صفائی کرنی ہے، پردے دھونے ہیں، قالین دھلوانے ہیں، اور دیواروں پر رنگ بھی کروانا ہے، کام بہت زیادہ ہے لیکن عید کے لیے گھر صاف ستھرا ہونا چاہیے۔,"Mom said before Eid the whole house needs a cleaning — curtains washed, carpets dry-cleaned, and walls repainted — there's a lot of work but the house should be spick and span for Eid."
220,بھائی، آج کا واقعہ سنو، صبح سویرے نکلا تھا کہ گاڑی سٹارٹ نہیں ہوئی، پھر رکشہ لیا، رکشہ نے راستے میں خراب کر دیا، پھر پیدل چلا، آدھے راستے میں جوتے کا تسمہ ٹوٹ گیا، اتنی مصیبتوں کے بعد دفتر پہنچا تو باس پوچھنے لگے دیر کیوں ہوئی۔,"Bro, listen to what happened today — left home early in the morning, the car wouldn't start, took a rickshaw, the rickshaw broke down midway, walked on foot, halfway there the shoelace broke — after all that trouble I finally reached the office and the boss asked why I was late."
221,آج بچوں کو پہلی بار سمندر لے گئے، وہ بہت خوش ہوئے، پانی میں کھیلے، ریت میں گھر بنائے، اور بہت ساری تصویریں کھینچیں، شام کو واپس آئے تو تھکے ہوئے تھے لیکن چہروں پر خوشی تھی، دن بہت اچھا گزرا۔,"Today we took the kids to the sea for the first time — they were overjoyed, played in the water, built sandcastles, and took lots of pictures — came back tired in the evening but their faces were full of happiness — it was a wonderful day."
222,ہمارے محلے میں چوری کا واقعہ ہوا پچھلے ہفتے، پڑوسی کے گھر سے موبائل اور کچھ رقم چوری ہو گئی، پولیس آئی لیکن کچھ نہیں ہوا، اب لوگ گھروں میں تالے بڑھا رہے ہیں اور رات کو چوکیداری کر رہے ہیں۔,"There was a robbery in our neighborhood last week — a neighbor had their phone and some cash stolen, the police came but nothing came of it — now people are putting extra locks on their doors and keeping watch at night."
223,یار، ٹیوشن فیس اتنی بڑھ گئی ہے کہ سوچنے پر مجبور ہو گیا ہوں کہ بچوں کو جاری رکھوں یا نہ رکھوں، ایک بچے کی فیس تین ہزار روپے مہینہ ہے اور تین بچے ہیں، نو ہزار مہینے کا صرف ٹیوشن پر، بجٹ نہیں چلتا۔,"Dude, tutoring fees have gone up so much I'm seriously reconsidering whether to continue for the kids — one kid's fee is 3,000 a month and I have three kids, that's 9,000 a month just on tuition — the budget just doesn't work."
224,آج رمضان کے مہینے میں سحری کے وقت اٹھنا بہت مشکل لگا، رات گئے تراویح پڑھی تھی اور نیند پوری نہیں ہوئی، لیکن امی نے جگا دیا، سحری کھائی اور فجر کی نماز پڑھی، اللہ کریم ہے اس مہینے کی برکت بہت ہے۔,"Waking up for suhoor during Ramadan was really tough today — I'd read taraweeh late and hadn't slept enough — but Mom woke me up, we ate suhoor, and I prayed Fajr — Allah is generous and this month's blessings are abundant."
225,بھابھی کے میکے سے سب آئے ہوئے ہیں، گھر میں پندرہ لوگ ہیں، کمرے کم ہیں، باتھ روم کا ایک ہی ہے، صبح صبح لائن لگتی ہے، لیکن گھر بھرا ہوا ہو تو رونق بھی ہوتی ہے، ہنسی مذاق بھی رہتی ہے۔,"Bhabhi's family from her parents' home have all come over — there are fifteen people in the house, fewer rooms, only one bathroom, there's a queue every morning — but a full house brings its own energy and lots of laughter."
226,ابو نے کہا کہ اس بار قربانی کا جانور پہلے سے بکنگ کرانا ہے کیونکہ عید قریب آنے پر قیمتیں بہت بڑھ جاتی ہیں، پچھلے سال بہت مہنگا ملا تھا اس لیے اب احتیاط سے چلیں گے۔,Dad said this time we should book the Qurbani animal in advance because prices shoot up when Eid gets close — last year it was very expensive so this time we'll be careful.
227,کراچی میں گرمیوں میں پانی پینا بہت ضروری ہے، لیکن باہر کا پانی پینے سے پیٹ خراب ہو جاتا ہے، اس لیے گھر سے بوتل لے کر جانی پڑتی ہے، بچوں کو بھی یہی سکھانا چاہیے کہ باہر کا پانی نہ پیئیں۔,"Drinking water in Karachi's summers is essential, but drinking outside water upsets your stomach, so you have to carry a bottle from home — children should be taught this too: don't drink water from outside."
228,بھائی، یہ جو نئے فلیٹ بن رہے ہیں ناظم آباد میں، ان کی قیمت سن کر دل بیٹھ گیا، چھوٹا سا دو کمروں کا فلیٹ ڈیڑھ کروڑ کا ہے، اتنی رقم کہاں سے آئے گی، بینک لون لینا بھی مہنگا پڑتا ہے۔,"Bro, I heard the price of the new flats being built in Nazimabad and my heart sank — a small two-bedroom flat is one and a half crore — where would that kind of money come from, and taking a bank loan is also expensive."
229,آج اسکول میں ماں باپ کا دن تھا، ٹیچر نے کہا کہ بچہ پڑھائی میں اچھا ہے لیکن شرارت بہت کرتا ہے، گھر میں بھی یہی حال ہے، لیکن باہر سے سن کر دل کچھ پریشان بھی ہوا اور ہنسی بھی آئی۔,Today was parent-teacher day at school — the teacher said the child is good academically but very mischievous — same story at home too — hearing it from outside made me a little worried but also made me laugh.
230,یار، کراچی میں ٹرانسپورٹ کا حال بہت برا ہے، بسیں پرانی ہیں اور خستہ حال ہیں، میٹرو نہیں ہے، رکشہ والے مرضی سے کرایہ لیتے ہیں، آن لائن کیب مہنگی ہے، اور اپنی گاڑی رکھنا بھی مہنگا ہو گیا ہے۔,"Dude, Karachi's transport situation is terrible — buses are old and falling apart, there's no metro, rickshaw drivers charge whatever they want, online cabs are expensive, and owning a car has become costly too."
231,ابو ریٹائر ہو گئے ہیں اس سال، اب گھر میں زیادہ وقت رہتے ہیں، صبح مسجد جاتے ہیں، واپسی میں اخبار لاتے ہیں، چائے پیتے ہیں اور پڑھتے ہیں، ہمیں اچھا لگتا ہے کہ وہ آرام کر رہے ہیں، ساری زندگی محنت کی ہے۔,"Dad retired this year — he spends more time at home now, goes to the mosque in the morning, brings back the newspaper, drinks tea and reads — it's nice to see him resting after a lifetime of hard work."
232,آج بازار میں ایک دوست سے اچانک ملاقات ہو گئی جسے پانچ سال سے نہیں دیکھا تھا، بہت خوشی ہوئی، کیفے میں بیٹھ کر چائے پی، پرانی باتیں کیں، وقت کتنی جلدی گزر جاتا ہے یہ احساس ہوا۔,"Today I ran into a friend at the market who I hadn't seen in five years — I was so happy — we sat in a café, had tea, reminisced about old times — it hit me how quickly time flies."
233,بھائی، اس مہینے گھر میں تین بیماریاں آئیں، پہلے امی کو بخار ہوا، پھر چھوٹے بچے کو کھانسی، اور اب میری طبیعت بھی ٹھیک نہیں ہے، ڈاکٹر کے چکر لگتے لگتے مہینے کا بجٹ ہل گیا۔,"Bro, this month three different illnesses hit the house — first Mom got fever, then the little kid got a cough, and now my own health isn't great — all these doctor visits have shaken the monthly budget."
234,یار، آج سوچ رہا ہوں کہ کراچی میں رہوں یا کہیں اور جاؤں، یہاں مہنگائی بہت ہے، مسائل بہت ہیں، لیکن دل بھی نہیں مانتا کہ اس شہر کو چھوڑوں، یہاں بچپن گزارا ہے، یہاں سب اپنے ہیں، کراچی بُرا سہی لیکن اپنا ہے۔,"Dude, I'm wondering today whether to stay in Karachi or move somewhere else — the inflation is brutal, the problems are endless — but my heart won't let me leave this city either, I grew up here, everyone I care about is here — Karachi may be difficult, but it's mine."
235,آج رات پوری فیملی چھت پر بیٹھی، ٹھنڈی ہوا آ رہی تھی، چاند بھی نکلا ہوا تھا، امی نے چائے بنائی، ابو نے پرانے زمانے کی باتیں سنائیں، بچے کھیل رہے تھے، کافی عرصے بعد اتنا سکون ملا۔,"Last night the whole family sat on the rooftop — there was a cool breeze, the moon was out, Mom made tea, Dad shared old stories, the kids were playing — I felt a genuine peace I hadn't felt in a long time."
236,بھابھی کا بچہ بیمار ہے تین دن سے، بخار اتر نہیں رہا، ہسپتال لے گئے تو ڈاکٹر نے ٹیسٹ لکھے، ٹیسٹ کا رپورٹ کل آئے گا، ساری فیملی پریشان ہے، دعا ہے کہ جلدی ٹھیک ہو جائے۔,Bhabhi's child has been sick for three days — the fever won't break — we took him to the hospital and the doctor ordered tests — the results come tomorrow — the whole family is worried — we're just praying he gets better soon.
